timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670793186631,575,Gets all users,200,OK,Endurance Test 1-1,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,575,0,449
1670793187206,112,Delete Request,200,OK,Endurance Test 1-1,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,112,0,0
1670793187318,112,Get by ID Request,200,OK,Endurance Test 1-1,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,112,0,0
1670793187430,114,Put Request,200,OK,Endurance Test 1-1,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,114,0,0
1670793187545,110,Post Request,200,OK,Endurance Test 1-1,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,110,0,0
1670793188630,497,Gets all users,200,OK,Endurance Test 1-2,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,497,0,380
1670793189127,111,Delete Request,200,OK,Endurance Test 1-2,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793189238,110,Get by ID Request,200,OK,Endurance Test 1-2,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793189349,109,Put Request,200,OK,Endurance Test 1-2,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
1670793189459,110,Post Request,200,OK,Endurance Test 1-2,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,110,0,0
1670793190634,494,Gets all users,200,OK,Endurance Test 1-3,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,494,0,372
1670793191128,110,Delete Request,200,OK,Endurance Test 1-3,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793191238,111,Get by ID Request,200,OK,Endurance Test 1-3,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793191349,110,Put Request,200,OK,Endurance Test 1-3,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793191459,112,Post Request,200,OK,Endurance Test 1-3,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,112,0,0
1670793192632,494,Gets all users,200,OK,Endurance Test 1-4,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,494,0,369
1670793193126,116,Delete Request,200,OK,Endurance Test 1-4,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,116,0,0
1670793193242,110,Get by ID Request,200,OK,Endurance Test 1-4,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793193353,110,Put Request,200,OK,Endurance Test 1-4,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793193464,109,Post Request,200,OK,Endurance Test 1-4,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,109,0,0
1670793194613,499,Gets all users,200,OK,Endurance Test 1-5,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,499,0,371
1670793195112,115,Delete Request,200,OK,Endurance Test 1-5,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,115,0,0
