timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670793626182,495,Gets all users,200,OK,Stress Test 1-1,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,495,0,375
1670793626678,111,Delete Request,200,OK,Stress Test 1-1,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793626789,112,Get by ID Request,200,OK,Stress Test 1-1,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,112,0,0
1670793626944,109,Put Request,200,OK,Stress Test 1-1,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
1670793627054,109,Post Request,200,OK,Stress Test 1-1,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,109,0,0
1670793628187,595,Gets all users,200,OK,Stress Test 1-2,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,595,0,461
1670793628784,127,Delete Request,200,OK,Stress Test 1-2,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,127,0,0
1670793628912,112,Get by ID Request,200,OK,Stress Test 1-2,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,112,0,0
1670793629025,112,Put Request,200,OK,Stress Test 1-2,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,112,0,0
1670793629137,115,Post Request,200,OK,Stress Test 1-2,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,115,0,0
1670793630184,485,Gets all users,200,OK,Stress Test 1-3,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,485,0,373
1670793630670,110,Delete Request,200,OK,Stress Test 1-3,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793630781,110,Get by ID Request,200,OK,Stress Test 1-3,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793630892,108,Put Request,200,OK,Stress Test 1-3,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,108,0,0
1670793631035,111,Post Request,200,OK,Stress Test 1-3,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,111,0,0
1670793632181,529,Gets all users,200,OK,Stress Test 1-4,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,529,0,407
1670793632710,112,Delete Request,200,OK,Stress Test 1-4,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,112,0,0
1670793632822,112,Get by ID Request,200,OK,Stress Test 1-4,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793632934,113,Put Request,200,OK,Stress Test 1-4,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,113,0,0
1670793633074,115,Post Request,200,OK,Stress Test 1-4,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,115,0,0
1670793634187,626,Gets all users,200,OK,Stress Test 1-5,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,626,0,490
1670793634813,111,Delete Request,200,OK,Stress Test 1-5,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793634924,119,Get by ID Request,200,OK,Stress Test 1-5,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,119,0,0
1670793635118,110,Put Request,200,OK,Stress Test 1-5,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793635228,109,Post Request,200,OK,Stress Test 1-5,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,109,0,0
1670793636190,593,Gets all users,200,OK,Stress Test 1-6,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,593,0,439
1670793636783,109,Delete Request,200,OK,Stress Test 1-6,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
1670793636892,113,Get by ID Request,200,OK,Stress Test 1-6,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,113,0,0
1670793637005,120,Put Request,200,OK,Stress Test 1-6,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,120,0,0
1670793637218,108,Post Request,200,OK,Stress Test 1-6,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,108,0,0
1670793638183,505,Gets all users,200,OK,Stress Test 1-7,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,505,0,385
1670793638688,112,Delete Request,200,OK,Stress Test 1-7,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,112,0,0
1670793638801,112,Get by ID Request,200,OK,Stress Test 1-7,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,112,0,0
1670793638914,110,Put Request,200,OK,Stress Test 1-7,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793639024,111,Post Request,200,OK,Stress Test 1-7,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,111,0,0
1670793640185,499,Gets all users,200,OK,Stress Test 1-8,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,499,0,389
1670793640684,114,Delete Request,200,OK,Stress Test 1-8,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,114,0,0
1670793640798,110,Get by ID Request,200,OK,Stress Test 1-8,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793640909,109,Put Request,200,OK,Stress Test 1-8,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
1670793641018,109,Post Request,200,OK,Stress Test 1-8,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,109,0,0
1670793642182,493,Gets all users,200,OK,Stress Test 1-9,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,493,0,382
1670793642676,111,Delete Request,200,OK,Stress Test 1-9,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
